
[00:00:00.000 --> 00:00:05.000]   Começamos. Sejam muito bem-vindas
[00:01:14.190 --> 00:01:16.290]   que? Eu sabia muita coisa.
[00:01:16.290 --> 00:01:17.680]   Então eu tinha várias
[00:01:17.680 --> 00:01:19.450]   informações, administradora,
[00:01:19.450 --> 00:01:20.820]   contradora. Quando eu fui
[00:01:20.820 --> 00:01:22.160]   auditora, eu passei várias
[00:01:22.160 --> 00:01:23.930]   empresas. Então eu ia para frigorífico,
[00:01:23.930 --> 00:01:26.090]   eu ia para Unimed, eu ia para
[00:01:26.090 --> 00:01:26.520]   Santa Casa,
[00:01:26.520 --> 00:01:28.240]   depois eu fui para a área de
[00:01:28.240 --> 00:01:30.450]   couro. Ou seja, a gente começa
[00:01:30.450 --> 00:01:31.760]   a criar um know-how
[00:01:31.760 --> 00:01:33.790]   muito grande. E aí eu falei "tá,
[00:01:33.790 --> 00:01:35.120]   agora eu quero vir para o
[00:01:35.120 --> 00:01:36.720]   digital" e eu sei um monte de
[00:01:36.720 --> 00:01:38.220]   coisa. O que você começa a
[00:01:38.220 --> 00:01:40.130]   fazer? No geral, um grande erro.
[00:01:40.130 --> 00:01:41.960]   Criar o produto e
[00:01:41.960 --> 00:01:43.610]   depois encaixar os alunos
[00:01:43.610 --> 00:01:45.890]   dentro. E óbvio que não fazia
[00:01:45.890 --> 00:01:47.560]   sentido isso. Hoje eu
[00:01:47.560 --> 00:01:49.050]   entendo. Por quê? Como eu falava
[00:01:49.050 --> 00:01:50.550]   "pô, as pessoas precisam
[00:01:50.550 --> 00:01:51.840]   aprender isso aqui, vou
[00:01:51.840 --> 00:01:53.400]   criar esse produto", porque é óbvio
[00:01:53.400 --> 00:01:54.960]   que as pessoas precisam atender.
[00:01:54.960 --> 00:01:56.080]   E aí eu criava
[00:01:56.080 --> 00:01:57.600]   e quem era essa pessoa? Que
[00:01:57.600 --> 00:01:59.960]   pessoa é essa que precisa atender?
[00:01:59.960 --> 00:02:00.200]   Então quando a
[00:02:00.200 --> 00:02:01.360]   gente não tem clareza da
[00:02:01.360 --> 00:02:02.800]   persona, a gente sai criando
[00:02:02.800 --> 00:02:04.360]   produtos. E como eu tinha
[00:02:04.360 --> 00:02:06.110]   conhecimento em várias áreas,
[00:02:06.110 --> 00:02:07.760]   eu criava produtos aleatórios
[00:02:07.760 --> 00:02:08.320]   achando que
[00:02:08.320 --> 00:02:09.900]   venderia porque era óbvio que
[00:02:09.900 --> 00:02:11.770]   aquele produto era eficiente. E
[00:02:11.770 --> 00:02:12.720]   ele até podia ser,
[00:02:12.720 --> 00:02:14.440]   mas ele era mal desenhado, mal
[00:02:14.440 --> 00:02:16.220]   estruturado e não tinha clareza
[00:02:16.220 --> 00:02:16.480]   de
[00:02:16.480 --> 00:02:17.980]   comunicação. Então hoje eu
[00:02:17.980 --> 00:02:19.760]   tenho uma certeza muito grande
[00:02:19.760 --> 00:02:21.200]   que para a gente
[00:02:21.200 --> 00:02:23.780]   ser visto e compreendido,
[00:02:23.780 --> 00:02:25.700]   porque é clareza que vende, a
[00:02:25.700 --> 00:02:27.160]   gente precisa ter a
[00:02:27.160 --> 00:02:28.490]   certeza de com quem a gente
[00:02:28.490 --> 00:02:29.920]   fala, o que a gente resolve e
[00:02:29.920 --> 00:02:31.480]   não tentar atender o
[00:02:31.480 --> 00:02:33.020]   mundo todo. Então o que eu faço
[00:02:33.020 --> 00:02:34.680]   hoje? Eu pego esse monte de
[00:02:34.680 --> 00:02:35.000]   conhecimento
[00:02:35.000 --> 00:02:37.170]   misturado que eu tive ao longo
[00:02:37.170 --> 00:02:39.250]   da vida e jogo tudo do método
[00:02:39.250 --> 00:02:40.480]   só para um tipo de
[00:02:40.480 --> 00:02:42.580]   pessoa. E obviamente, não é
[00:02:42.580 --> 00:02:43.820]   todo o seu conhecimento que
[00:02:43.820 --> 00:02:45.640]   entra no seu método. É
[00:02:45.640 --> 00:02:47.300]   o que faz sentido para essa
[00:02:47.300 --> 00:02:49.730]   jornada. Mas, quanto mais impulso
[00:02:49.730 --> 00:02:50.920]   a gente tem dentro da
[00:02:50.920 --> 00:02:52.280]   nossa cabeça, mais a gente
[00:02:52.280 --> 00:02:54.270]   consegue ajudar numa mentoria.
[00:02:54.270 --> 00:02:55.560]   Então a Elaine pode
[00:02:55.560 --> 00:02:58.080]   vir com o trabalho dela, o Leandro
[00:02:58.080 --> 00:02:59.600]   dela. E como a gente tem uma
[00:02:59.600 --> 00:03:00.520]   carga de
[00:03:00.520 --> 00:03:01.880]   conhecimento de várias áreas,
[00:03:01.880 --> 00:03:03.120]   fala "já conheci isso, já
[00:03:03.120 --> 00:03:04.000]   trabalhei com isso, já
[00:03:04.000 --> 00:03:05.360]   conheci esse nicho", então a
[00:03:05.360 --> 00:03:06.680]   gente consegue ser um mentor
[00:03:06.680 --> 00:03:08.560]   melhor por ter uma boa bagagem.
[00:03:08.560 --> 00:03:11.160]   Mas não é todo o seu conhecimento
[00:03:11.160 --> 00:03:13.190]   que vai dentro do seu produto e
[00:03:13.190 --> 00:03:13.800]   nem do seu
[00:03:13.800 --> 00:03:16.590]   método. Então, o grande erro é
[00:03:16.590 --> 00:03:19.270]   o que? Vender o que elas precisam.
[00:03:19.270 --> 00:03:19.880]   A gente precisa
[00:03:19.880 --> 00:03:21.750]   vender o que elas querem. Então
[00:03:21.750 --> 00:03:23.810]   não adiantava falar "você
[00:03:23.810 --> 00:03:24.640]   precisa aprender
[00:03:24.640 --> 00:03:27.230]   iá, você precisa aprender iá".
[00:03:27.230 --> 00:03:29.240]   Elas não querem iá. Aconteceu
[00:03:29.240 --> 00:03:30.520]   isso na minha sessão
[00:03:30.520 --> 00:03:32.190]   da semana passada, que uma
[00:03:32.190 --> 00:03:33.840]   especialista em moda, ela está
[00:03:33.840 --> 00:03:35.660]   apaixonada por iá. E ela
[00:03:35.660 --> 00:03:37.010]   falou "agora eu queria tudo com
[00:03:37.010 --> 00:03:38.620]   iá". O Instagram dela chama "moda
[00:03:38.620 --> 00:03:39.720]   com iá" e ela
[00:03:39.720 --> 00:03:40.940]   vende para representantes, para
[00:03:40.940 --> 00:03:42.320]   indústria, pessoas que faturam
[00:03:42.320 --> 00:03:43.560]   milhões. Você acha que eles
[00:03:43.560 --> 00:03:45.790]   querem aprender iá? Não, eles
[00:03:45.790 --> 00:03:47.590]   querem um ebook, um ebook da
[00:03:47.590 --> 00:03:49.000]   moda com iá. Não
[00:03:49.000 --> 00:03:50.330]   querem gastar com vitrine,
[00:03:50.330 --> 00:03:51.930]   porque a iá faz. Elas querem o
[00:03:51.930 --> 00:03:53.440]   resultado da iá. Então a
[00:03:53.440 --> 00:03:55.270]   nossa comunicação, a comunicação
[00:03:55.270 --> 00:03:57.480]   dela no caso, não é iá. Olha o
[00:03:57.480 --> 00:03:58.160]   resultado como eu
[00:03:58.160 --> 00:04:00.050]   faço em 15 minutos. Olha como
[00:04:00.050 --> 00:04:01.940]   eu economizo 30 mil reais, que
[00:04:01.940 --> 00:04:03.080]   é o que ela economizou de
[00:04:03.080 --> 00:04:04.880]   fazer um todo um ebook de nova
[00:04:04.880 --> 00:04:07.010]   estação para uma loja, que ela
[00:04:07.010 --> 00:04:07.960]   gastaria 30 mil e ela
[00:04:07.960 --> 00:04:10.010]   gastou 10 minutos com uma iá. É
[00:04:10.010 --> 00:04:11.550]   isso que eles querem. Então a
[00:04:11.550 --> 00:04:12.640]   gente tem que enxergar
[00:04:12.640 --> 00:04:15.190]   a nossa persona, vender o que
[00:04:15.190 --> 00:04:16.840]   quer e aí sim eu entrego o que
[00:04:16.840 --> 00:04:18.280]   precisa. Ou seja, só
[00:04:18.280 --> 00:04:19.670]   quando entra que eu falo "pois
[00:04:19.670 --> 00:04:21.450]   é". É isso que você quer? Você
[00:04:21.450 --> 00:04:23.160]   quer que a gente usa 30 mil
[00:04:23.160 --> 00:04:23.360]   nesse
[00:04:23.360 --> 00:04:24.760]   ebook? Você tem que aprender iá.
[00:04:24.760 --> 00:04:26.150]   Não tem jeito. É a mesma coisa
[00:04:26.150 --> 00:04:27.160]   que o Hérrico Rocha fez a
[00:04:27.160 --> 00:04:29.060]   vida inteira. Ele só vende o 6
[00:04:29.060 --> 00:04:31.040]   em 7. Ele não vende a fórmula
[00:04:31.040 --> 00:04:31.880]   de lançamento, porque
[00:04:31.880 --> 00:04:34.070]   ninguém quer fórmula de lançamento.
[00:04:34.070 --> 00:04:36.310]   Ela é difícil, complexa, gigante.
[00:04:36.310 --> 00:04:36.720]   Tem que saber
[00:04:36.720 --> 00:04:38.560]   mil e uma coisas. Ninguém quer
[00:04:38.560 --> 00:04:40.150]   passar pelo processo. Então a
[00:04:40.150 --> 00:04:41.240]   gente não vende o
[00:04:41.240 --> 00:04:42.500]   processo. A gente tem que
[00:04:42.500 --> 00:04:44.360]   entender quem é a sua persona.
[00:04:44.360 --> 00:04:46.200]   Por isso que tudo parte da
[00:04:46.200 --> 00:04:48.800]   nossa persona. E aí, mantendo
[00:04:48.800 --> 00:04:50.800]   aqui minha linha de esteira
[00:04:50.800 --> 00:04:52.400]   totalmente aleatória e
[00:04:52.400 --> 00:04:54.070]   por isso que eu flopei tanto, o
[00:04:54.070 --> 00:04:55.560]   primeiro que eu cheguei no
[00:04:55.560 --> 00:04:57.320]   digital com um mês, eu
[00:04:57.320 --> 00:04:58.660]   fiz um curso que falava "como
[00:04:58.660 --> 00:05:00.310]   criar seu curso online". E aí
[00:05:00.310 --> 00:05:01.960]   eu fiz o que? Ah, gestão

[00:05:00.000 --> 00:05:01.760]   E aí eu fiz o quê? Ah, gestão
[00:05:01.760 --> 00:05:03.200]   financeira para autônomos. Eu
[00:05:03.200 --> 00:05:04.000]   era concursada, tá?
[00:05:04.000 --> 00:05:05.160]   Aqui que eu sabia de autônomo,
[00:05:05.160 --> 00:05:06.250]   eu não conheço ninguém autônomo,
[00:05:06.250 --> 00:05:08.000]   minha família era de concursado.
[00:05:08.000 --> 00:05:09.980]   Mas eu acho assim, ah, manicure,
[00:05:09.980 --> 00:05:12.140]   vendedor, prestador de serviço,
[00:05:12.140 --> 00:05:14.860]   eles precisam de uma gestão, de
[00:05:14.860 --> 00:05:16.000]   um fluxo de caixa.
[00:05:16.000 --> 00:05:17.430]   Aí eu criei um curso de gestão
[00:05:17.430 --> 00:05:19.430]   financeira para autônomos. Óbvio,
[00:05:19.430 --> 00:05:21.000]   gente. Quem que queria?
[00:05:21.000 --> 00:05:22.450]   Você acha que esse cara que tem
[00:05:22.450 --> 00:05:23.600]   que ir o rolê todo pra pagar as
[00:05:23.600 --> 00:05:25.040]   contas, quer parar e falar "vou
[00:05:25.040 --> 00:05:26.000]   preencher um Excel com fluxo de
[00:05:26.000 --> 00:05:26.000]   caixa"?
[00:05:26.000 --> 00:05:28.100]   Ele quer ver o dinheiro entrando.
[00:05:28.100 --> 00:05:30.000]   Só que eu não entendia isso.
[00:05:30.000 --> 00:05:31.410]   Por quê? Porque eu não vivia,
[00:05:31.410 --> 00:05:32.450]   eu nem sabia quem era essa
[00:05:32.450 --> 00:05:33.000]   persona.
[00:05:33.000 --> 00:05:34.700]   Então, meu primeiro curso demorei
[00:05:34.700 --> 00:05:36.350]   tempão. Eu tenho até umas fotos
[00:05:36.350 --> 00:05:38.120]   gravando, eu tava todo na piscina,
[00:05:38.120 --> 00:05:39.000]   que era dezembro,
[00:05:39.000 --> 00:05:40.920]   e eu lá gravando o meu curso, óbvio
[00:05:40.920 --> 00:05:42.450]   que não vendeu. E eu vendia,
[00:05:42.450 --> 00:05:44.030]   era 40 reais, fez lá, fiz 10
[00:05:44.030 --> 00:05:45.000]   vendas, foi muito.
[00:05:45.000 --> 00:05:46.350]   Aí eu fui "não, agora eu vou
[00:05:46.350 --> 00:05:47.940]   para gestão de empresa", que é
[00:05:47.940 --> 00:05:49.430]   autônomo que não quer saber as
[00:05:49.430 --> 00:05:50.000]   coisas.
[00:05:50.000 --> 00:05:51.470]   Criei um curso de gestão de
[00:05:51.470 --> 00:05:53.180]   empresa muito mais profundo,
[00:05:53.180 --> 00:05:54.950]   falava de gestão financeira,
[00:05:54.950 --> 00:05:57.210]   estratégica, de clientes,
[00:05:57.210 --> 00:05:58.000]   marketing,
[00:05:58.000 --> 00:05:59.230]   de gestão de pessoas, eram
[00:05:59.230 --> 00:06:01.050]   cinco passos. Eu era concursada
[00:06:01.050 --> 00:06:02.430]   ainda, tá? O que eu sabia de
[00:06:02.430 --> 00:06:03.000]   gestão de empresa? Nada.
[00:06:03.000 --> 00:06:05.570]   E aí, como que eu ia ensinar
[00:06:05.570 --> 00:06:08.000]   tudo isso de forma aprofundada?
[00:06:08.000 --> 00:06:09.000]   Ensinava.
[00:06:09.000 --> 00:06:10.880]   Então era um curso superficial,
[00:06:10.880 --> 00:06:12.530]   longo, com pouca ferramenta e
[00:06:12.530 --> 00:06:15.000]   zero solução e nenhum skin-the-game.
[00:06:15.000 --> 00:06:16.830]   Mais um produto que eu fiz, que
[00:06:16.830 --> 00:06:18.890]   as pessoas precisavam, porque
[00:06:18.890 --> 00:06:20.000]   na minha cabeça, quem é que, Ergament,
[00:06:20.000 --> 00:06:22.140]   quem é que não precisa de gestão?
[00:06:22.140 --> 00:06:23.450]   Todo mundo. A Coca-Cola precisa
[00:06:23.450 --> 00:06:25.000]   de gestão, o bar da Espinna
[00:06:25.000 --> 00:06:26.000]   precisa de gestão,
[00:06:26.000 --> 00:06:27.150]   a padaria precisa de gestão,
[00:06:27.150 --> 00:06:28.580]   todos precisam de gestão. Mas
[00:06:28.580 --> 00:06:30.200]   como que eu venderia isso sem
[00:06:30.200 --> 00:06:32.000]   eu saber viver a gestão?
[00:06:32.000 --> 00:06:33.870]   Então eu sou da área contábil,
[00:06:33.870 --> 00:06:35.930]   fui auditor, eu entendo de gestão,
[00:06:35.930 --> 00:06:38.000]   mas eu nunca tinha vivido gestão.
[00:06:38.000 --> 00:06:39.830]   Eu só vivia gestão só do lado
[00:06:39.830 --> 00:06:41.930]   de relatórios. É assim que você
[00:06:41.930 --> 00:06:43.330]   tem que fazer, viu? É assim que
[00:06:43.330 --> 00:06:44.000]   você tem que fazer.
[00:06:44.000 --> 00:06:46.160]   Lógico que não dava certo. Aí
[00:06:46.160 --> 00:06:47.930]   não deu certo. Aí eu fui pra
[00:06:47.930 --> 00:06:49.000]   produtividade.
[00:06:49.000 --> 00:06:50.800]   Ah, então agora, produzirar pra
[00:06:50.800 --> 00:06:52.400]   mães de bebês, porque eu tive
[00:06:52.400 --> 00:06:54.000]   uma filha e eu era produtiva.
[00:06:54.000 --> 00:06:55.860]   Então eu vou criar, produzirar
[00:06:55.860 --> 00:06:58.170]   pra mãe e bebê. Então eu cria o
[00:06:58.170 --> 00:07:01.000]   produto e ia caçando os clientes.
[00:07:01.000 --> 00:07:02.330]   Eu cria o produto e caçava os
[00:07:02.330 --> 00:07:04.000]   clientes. Tá errado, porque o
[00:07:04.000 --> 00:07:05.210]   produto foi feito pra que
[00:07:05.210 --> 00:07:06.000]   cliente?
[00:07:06.000 --> 00:07:07.400]   Não sei, da minha cabeça. Eu
[00:07:07.400 --> 00:07:09.000]   não tinha essa persona definida.
[00:07:09.000 --> 00:07:11.320]   Eu só tinha uma demanda da
[00:07:11.320 --> 00:07:12.000]   minha cabeça
[00:07:12.000 --> 00:07:13.860]   e um conhecimento da toda minha
[00:07:13.860 --> 00:07:16.000]   vivência e eu criava produtos.
[00:07:16.000 --> 00:07:17.580]   Então pra mim sempre foi muito
[00:07:17.580 --> 00:07:19.370]   fácil criar produtos. Então se
[00:07:19.370 --> 00:07:20.640]   vocês me derem o que vocês
[00:07:20.640 --> 00:07:21.650]   fazem é que eu crio produtos
[00:07:21.650 --> 00:07:22.000]   pra vocês.
[00:07:22.000 --> 00:07:23.440]   Não cria não, de graça não, né?
[00:07:23.440 --> 00:07:24.460]   Mas tá bom. Que hoje virou
[00:07:24.460 --> 00:07:25.000]   minha profissão isso.
[00:07:25.000 --> 00:07:26.540]   Como eu sou tão boa em criar
[00:07:26.540 --> 00:07:28.330]   produtos, eu virei uma mentora
[00:07:28.330 --> 00:07:30.130]   de criação de produtos, mas
[00:07:30.130 --> 00:07:31.360]   antes eu saia criando produtos
[00:07:31.360 --> 00:07:32.000]   aleatórios.
[00:07:32.000 --> 00:07:33.700]   Criei produto quando eu comecei
[00:07:33.700 --> 00:07:35.270]   a dar mentoria pra uma turma de
[00:07:35.270 --> 00:07:38.130]   empreendedores da Agilterra,
[00:07:38.130 --> 00:07:39.000]   que eu fiz uma parceria lá.
[00:07:39.000 --> 00:07:40.400]   E aí eu criei um produto também
[00:07:40.400 --> 00:07:42.000]   pra empreendedores da Doutera.
[00:07:42.000 --> 00:07:43.000]   Eu já tinha vendido Doutera?
[00:07:43.000 --> 00:07:44.640]   Não, não sabia nada de óleos
[00:07:44.640 --> 00:07:45.000]   essenciais.
[00:07:45.000 --> 00:07:47.590]   Mas eu tava lá vendendo. Olha
[00:07:47.590 --> 00:07:49.540]   como eu era aleatória. E todos
[00:07:49.540 --> 00:07:51.660]   partiam do quê? De tudo que eu
[00:07:51.660 --> 00:07:52.000]   sabia.
[00:07:52.000 --> 00:07:53.620]   E não do que a persona quer, do
[00:07:53.620 --> 00:07:55.060]   que o público quer ou da sua
[00:07:55.060 --> 00:07:57.630]   audiência. Não é assim que se cria
[00:07:57.630 --> 00:07:59.000]   aqui no digital.
[00:07:59.000 --> 00:07:59.760]   Por quê? Porque eu não conseguia
[00:07:59.760 --> 00:08:00.510]   comunicar, não conseguia chegar
[00:08:00.510 --> 00:08:01.800]   nessas pessoas. Eu nem era
[00:08:01.800 --> 00:08:03.000]   essas pessoas.
[00:08:03.000 --> 00:08:04.650]   Eu nunca tinha vivido que essas
[00:08:04.650 --> 00:08:06.410]   pessoas estavam vivendo. Então
[00:08:06.410 --> 00:08:08.320]   o meu erro foi muito primitivo,
[00:08:08.320 --> 00:08:10.000]   mas eu acredito que acontece
[00:08:10.000 --> 00:08:11.000]   com muita frequência.
[00:08:11.000 --> 00:08:12.470]   Quando você tem o conhecimento
[00:08:12.470 --> 00:08:13.540]   fala "vou criar um produto
[00:08:13.540 --> 00:08:15.230]   disso aqui". Mas pra quem? Pra
[00:08:15.230 --> 00:08:17.170]   alguém. Pra alguém que alguém
[00:08:17.170 --> 00:08:18.000]   precisa disso.
[00:08:18.000 --> 00:08:20.070]   Sabe como é aleatório? Esses
[00:08:20.070 --> 00:08:22.010]   foram os produtos aleatórios
[00:08:22.010 --> 00:08:24.190]   que eu criei, até entender que
[00:08:24.190 --> 00:08:26.100]   a coisa não estava muito bem
[00:08:26.100 --> 00:08:27.000]   definida.
[00:08:27.000 --> 00:08:28.680]   E aí eu percebi, quando eu
[00:08:28.680 --> 00:08:30.930]   entrei pra área de metodologia,
[00:08:30.930 --> 00:08:32.210]   que você precisa de um
[00:08:32.210 --> 00:08:33.000]   blueprint.
[00:08:33.000 --> 00:08:35.590]   Que é o quê? Um mapinha do que
[00:08:35.590 --> 00:08:37.460]   você precisa preencher pra que
[00:08:37.460 --> 00:08:40.000]   esse produto tenha um esqueleto,
[00:08:40.000 --> 00:08:41.000]   ele tenha uma clareza.
[00:08:41.000 --> 00:08:43.040]   Senão ele fica só na ideia. Ou
[00:08:43.040 --> 00:08:44.930]   na ideia, ou um produto
[00:08:44.930 --> 00:08:46.000]   realmente capengo.
[00:08:46.000 --> 00:08:47.480]   Então hoje eu vou te passar 5
[00:08:47.480 --> 00:08:49.040]   perguntas que tem que responder
[00:08:49.040 --> 00:08:50.430]   em cada produto que você vai
[00:08:50.430 --> 00:08:51.000]   fazer.
[00:08:51.000 --> 00:08:52.270]   Vai fazer um ebook? Essas
[00:08:52.270 --> 00:08:53.980]   perguntas. Vai fazer mentoria?
[00:08:53.980 --> 00:08:55.480]   Essas perguntas. Vai fazer um
[00:08:55.480 --> 00:08:57.000]   curso? Essas perguntas.
[00:08:57.000 --> 00:08:58.890]   Mesmo que sejam 2, vou trazer
[00:08:58.890 --> 00:09:00.930]   aqui vários formatos diferentes
[00:09:00.930 --> 00:09:03.170]   de info-produto, mas mesmo que
[00:09:03.170 --> 00:09:05.090]   você fizer 2 cursos onlines,
[00:09:05.090 --> 00:09:06.000]   eles tem que responder.
[00:09:06.000 --> 00:09:08.000]   Porque você não vai fazer 2 iguais.
[00:09:08.000 --> 00:09:09.930]   Então as 5 perguntas servem pra
[00:09:09.930 --> 00:09:11.520]   cada info-produto que você for
[00:09:11.520 --> 00:09:14.000]   criar daqui pra frente. Combinado?
[00:09:14.000 --> 00:09:17.650]   O que é esse blueprint do info-produto?
[00:09:17.650 --> 00:09:20.170]   É você definir o que é esse
[00:09:20.170 --> 00:09:23.080]   produto, o formato que ele
[00:09:23.080 --> 00:09:25.130]   entrega, qual é a concepção
[00:09:25.130 --> 00:09:26.450]   desse produto que você vai
[00:09:26.450 --> 00:09:27.000]   criar.
[00:09:27.000 --> 00:09:28.620]   Então se você tem 6 produtos,
[00:09:28.620 --> 00:09:30.140]   você tem que ter 6 blueprints
[00:09:30.140 --> 00:09:31.600]   preenchidos. Por quê? Porque
[00:09:31.600 --> 00:09:33.000]   eles vão dar clareza de comunicação.
[00:09:33.000 --> 00:09:34.910]   Ele serve pra você comunicar
[00:09:34.910 --> 00:09:37.130]   pra parceiros, pra você colocar
[00:09:37.130 --> 00:09:39.270]   no seu cloud code, ele te ensinar
[00:09:39.270 --> 00:09:41.400]   a criar página de vendas, criar
[00:09:41.400 --> 00:09:43.090]   toda a estrutura que você
[00:09:43.090 --> 00:09:45.000]   precisa de comunicação.
[00:09:45.000 --> 00:09:46.350]   Você entender com quem você
[00:09:46.350 --> 00:09:48.000]   fala, passar pra social media.
[00:09:48.000 --> 00:09:50.320]   Por quê? Cada info-produto tem
[00:09:50.320 --> 00:09:52.100]   uma comunicação diferente e a
[00:09:52.100 --> 00:09:53.800]   persona no geral, eu recomendo
[00:09:53.800 --> 00:09:55.000]   que seja a mesma.
[00:09:55.000 --> 00:09:58.290]   mesma, mas não é o ponto de
[00:09:58.290 --> 00:10:01.360]   partida diferente, elas têm uma
[00:10:01.360 --> 00:10:03.500]   forma de trabalhar diferente,

[00:10:00.000 --> 00:10:01.450]   O porquê você criou esse
[00:10:01.450 --> 00:10:22.140]   produto, o porquê você criou
[00:10:22.140 --> 00:10:23.400]   seu produto?
[00:10:23.400 --> 00:10:26.030]   Aí vem o pra quem? Essa vem a
[00:10:26.030 --> 00:10:28.360]   sua persona, mas um ponto
[00:10:28.360 --> 00:10:30.960]   específico de porquê que foi um
[00:10:30.960 --> 00:10:33.200]   infoproduto para essa trava.
[00:10:33.200 --> 00:10:35.280]   Porque também a mesma persona
[00:10:35.280 --> 00:10:37.290]   pode ser para mentoria, pode
[00:10:37.290 --> 00:10:39.790]   ser para consultoria, pode, mas
[00:10:39.790 --> 00:10:41.250]   elas têm necessidades
[00:10:41.250 --> 00:10:42.200]   diferentes.
[00:10:42.200 --> 00:10:43.600]   Mesmo que seja a mesma persona
[00:10:43.600 --> 00:10:45.170]   que trabalha com a mesma coisa,
[00:10:45.170 --> 00:10:46.910]   que tenha a mesma faixa etária,
[00:10:46.910 --> 00:10:48.370]   elas têm necessidades
[00:10:48.370 --> 00:10:49.200]   diferentes.
[00:10:49.200 --> 00:10:50.780]   E para necessidades diferentes
[00:10:50.780 --> 00:10:52.380]   nós precisamos de infoprodutos
[00:10:52.380 --> 00:10:53.600]   diferentes, tá?
[00:10:53.600 --> 00:10:56.380]   E partindo de onde? É intermediário,
[00:10:56.380 --> 00:10:58.300]   é avançado, é inicial, ela já
[00:10:58.300 --> 00:11:00.060]   sabe alguma coisa, ela não sabe
[00:11:00.060 --> 00:11:00.400]   nada.
[00:11:00.400 --> 00:11:02.490]   Qual a consciência da solução
[00:11:02.490 --> 00:11:04.330]   que ela tem, do problema que
[00:11:04.330 --> 00:11:05.000]   ela tem?
[00:11:05.000 --> 00:11:06.190]   Então muitas vezes a gente
[00:11:06.190 --> 00:11:07.600]   trabalha com pessoas que não
[00:11:07.600 --> 00:11:09.130]   têm nem, ela nem sabe que o seu
[00:11:09.130 --> 00:11:10.940]   produto existe, que a sua solução
[00:11:10.940 --> 00:11:11.400]   existe.
[00:11:11.400 --> 00:11:13.080]   Por exemplo, quando você entra
[00:11:13.080 --> 00:11:14.640]   no infoproduto, no mercado de
[00:11:14.640 --> 00:11:16.000]   criar novas profissões.
[00:11:16.000 --> 00:11:18.570]   Então vou te ensinar a ser uma
[00:11:18.570 --> 00:11:20.000]   professora de yoga, tá?
[00:11:20.000 --> 00:11:23.670]   Eu sou mentora de produtos, mas
[00:11:23.670 --> 00:11:26.480]   eu sou, adoro fazer yoga e
[00:11:26.480 --> 00:11:29.000]   estou estressada.
[00:11:29.000 --> 00:11:30.440]   Aí a Elaine vem em mim, uma
[00:11:30.440 --> 00:11:32.280]   persona falou "pô, ela já gosta
[00:11:32.280 --> 00:11:34.000]   de yoga e vive estressada".
[00:11:34.000 --> 00:11:35.400]   Se ela se tornar uma profissional
