
[00:00:00.000 --> 00:00:06.120]   Começamos! Sejam bem-vindos a
[00:01:48.500 --> 00:01:51.930]   era boa, que fazia sentido, se
[00:01:51.930 --> 00:01:53.500]   identificavam, mas era cara.
[00:01:53.500 --> 00:01:56.090]   Então, assim, não é todo mundo,
[00:01:56.090 --> 00:01:57.650]   hoje a incubadora ela está em
[00:01:57.650 --> 00:01:59.860]   torno de 10 a 15 mil reais de
[00:01:59.860 --> 00:02:01.720]   acordo com o acesso, tudo que a
[00:02:01.720 --> 00:02:03.690]   gente vai fazer, só que é todo
[00:02:03.690 --> 00:02:04.500]   mundo.
[00:02:04.500 --> 00:02:06.210]   E eu percebi um ponto também, a
[00:02:06.210 --> 00:02:07.860]   minha persona, no geral, ela
[00:02:07.860 --> 00:02:10.040]   está chegando no digital, então
[00:02:10.040 --> 00:02:12.570]   ela não sabe bem, certeza, se é
[00:02:12.570 --> 00:02:15.120]   isso que ela quer, ela quer pôr
[00:02:15.120 --> 00:02:16.500]   o pezinho na água.
[00:02:16.500 --> 00:02:18.530]   E é difícil a pessoa pôr o pezinho
[00:02:18.530 --> 00:02:20.210]   na água por esse valor, e aí
[00:02:20.210 --> 00:02:21.840]   ela fala "pô, vai que eu não
[00:02:21.840 --> 00:02:23.610]   gosto, vai que eu não quero,
[00:02:23.610 --> 00:02:25.500]   vai que não é para mim".
[00:02:25.500 --> 00:02:27.460]   Então eu perdia muitas vendas,
[00:02:27.460 --> 00:02:29.070]   porque não era o momento da
[00:02:29.070 --> 00:02:30.830]   minha persona, apesar dela se
[00:02:30.830 --> 00:02:32.780]   identificar, fazer sentido e
[00:02:32.780 --> 00:02:33.500]   tudo mais.
[00:02:33.500 --> 00:02:35.160]   E o grande problema é que eu
[00:02:35.160 --> 00:02:37.110]   tinha uma oferta perfeita, mas
[00:02:37.110 --> 00:02:39.410]   uma única oferta. Então, ou ela
[00:02:39.410 --> 00:02:41.370]   se encaixava na minha incubadora
[00:02:41.370 --> 00:02:43.500]   de expert, ou não se encaixava.
[00:02:43.500 --> 00:02:45.080]   E aí foi me despertando o
[00:02:45.080 --> 00:02:47.190]   momento de "peraí, eu tenho que
[00:02:47.190 --> 00:02:49.240]   aumentar o meu ecossistema para
[00:02:49.240 --> 00:02:51.660]   ter novas ofertas e conseguir
[00:02:51.660 --> 00:02:54.720]   agradar gregos e troianos, como
[00:02:54.720 --> 00:02:55.500]   a gente fala".
[00:02:55.500 --> 00:02:57.520]   E outro ponto aconteceu é, eu
[00:02:57.520 --> 00:03:00.000]   tinha alunos dentro da mentoria,
[00:03:00.000 --> 00:03:01.860]   principalmente da mentoria em
[00:03:01.860 --> 00:03:04.390]   grupo, porque a primeira vendia
[00:03:04.390 --> 00:03:06.220]   individual, depois eu criei em
[00:03:06.220 --> 00:03:06.500]   grupo.
[00:03:06.500 --> 00:03:08.320]   E pessoas que entravam em grupo
[00:03:08.320 --> 00:03:10.280]   continuavam travadas. E aí eu
[00:03:10.280 --> 00:03:12.240]   falava "participa do plantão,
[00:03:12.240 --> 00:03:14.500]   eu vou te destravar, participa".
[00:03:14.500 --> 00:03:16.580]   E aí além de não participar,
[00:03:16.580 --> 00:03:19.000]   não geravam resultados. E aí eu
[00:03:19.000 --> 00:03:19.770]   falei "gente, o que está
[00:03:19.770 --> 00:03:22.110]   acontecendo? Eu tenho agentes
[00:03:22.110 --> 00:03:23.810]   de AI que fazem todos os métodos
[00:03:23.810 --> 00:03:26.500]   para você, por que você não faz?"
[00:03:26.500 --> 00:03:28.070]   Porque simplesmente tem
[00:03:28.070 --> 00:03:30.510]   especialistas com tanto conhecimento
[00:03:30.510 --> 00:03:32.530]   que travam na hora de falar "esse
[00:03:32.530 --> 00:03:34.610]   é o conhecimento que fica, esse
[00:03:34.610 --> 00:03:36.810]   é o conhecimento que sai, isso
[00:03:36.810 --> 00:03:38.500]   é necessário, isso não é necessário".
[00:03:38.500 --> 00:03:41.080]   Porque o especialista é uma
[00:03:41.080 --> 00:03:43.480]   pessoa, um profissional apaixonado
[00:03:43.480 --> 00:03:45.480]   pelo que faz. E quanto mais a
[00:03:45.480 --> 00:03:47.440]   gente se apaixona pelo nosso
[00:03:47.440 --> 00:03:49.730]   método, nosso conhecimento,
[00:03:49.730 --> 00:03:51.780]   mais difícil é a gente abrir
[00:03:51.780 --> 00:03:52.500]   mão.
[00:03:52.500 --> 00:03:53.970]   Então quando eu chego e começo
[00:03:53.970 --> 00:03:55.430]   a simplificar o método dos meus
[00:03:55.430 --> 00:03:57.000]   alunos, eles falam "mas sério
[00:03:57.000 --> 00:03:58.290]   que vai tirar isso, mas sério
[00:03:58.290 --> 00:03:59.500]   que vai tirar isso".
[00:03:59.500 --> 00:04:01.460]   Eu estou numa guerra com uma aluna
[00:04:01.460 --> 00:04:03.070]   minha que ela é de guerra do
[00:04:03.070 --> 00:04:04.750]   bem, com uma aluna minha que
[00:04:04.750 --> 00:04:06.990]   ela é de regularização de imóveis
[00:04:06.990 --> 00:04:07.500]   murais.
[00:04:07.500 --> 00:04:08.450]   E ela fala que ela quer
[00:04:08.450 --> 00:04:10.230]   trabalhar a inteligência emocional
[00:04:10.230 --> 00:04:11.660]   desse profissional, que ele não
[00:04:11.660 --> 00:04:13.090]   sabe conduzir, ele não sabe quebrar
[00:04:13.090 --> 00:04:15.090]   objeções, ele não sabe conduzir
[00:04:15.090 --> 00:04:17.400]   o produtor rural, ele não sabe
[00:04:17.400 --> 00:04:18.500]   se posicionar.
[00:04:18.500 --> 00:04:19.580]   Você entende que tudo que a
[00:04:19.580 --> 00:04:21.050]   gente está conversando aqui não
[00:04:21.050 --> 00:04:22.500]   é de regularização de imóveis,
[00:04:22.500 --> 00:04:25.560]   é a parte emocional, comercial,
[00:04:25.560 --> 00:04:28.500]   de relacionamento interpessoal.
[00:04:28.500 --> 00:04:29.750]   E aí eu falei pra ela "esse é o
[00:04:29.750 --> 00:04:31.710]   método, não é regularização". E
[00:04:31.710 --> 00:04:33.020]   ela concordou plenamente, ela
[00:04:33.020 --> 00:04:34.400]   falou "tem um monte de pessoas
[00:04:34.400 --> 00:04:36.110]   que ensinam a regularização, eu
[00:04:36.110 --> 00:04:37.500]   não quero ensinar isso".
[00:04:37.500 --> 00:04:39.450]   E aí eu falei "mas pra sua promessa
[00:04:39.450 --> 00:04:41.200]   ficar muito boa, você tem que
[00:04:41.200 --> 00:04:43.090]   excluir a técnica". E aí a sua
[00:04:43.090 --> 00:04:44.850]   persona não é mais uma pessoa
[00:04:44.850 --> 00:04:46.800]   que quer se tornar um profissional
[00:04:46.800 --> 00:04:48.500]   de regularização.
[00:04:48.500 --> 00:04:50.670]   Já é um profissional diferente,
[00:04:50.670 --> 00:04:53.000]   é uma persona que já é profissional
[00:04:53.000 --> 00:04:54.890]   de regularização, mas não
[00:04:54.890 --> 00:04:56.280]   consegue converter, não
[00:04:56.280 --> 00:04:58.010]   consegue ter objeções, não quebra
[00:04:58.010 --> 00:04:59.670]   objeções, não sabe vender, não
[00:04:59.670 --> 00:05:00.500]   sabe conduzir.

[00:05:00.000 --> 00:05:01.440]   e o link está na descrição do
[00:05:01.440 --> 00:05:02.000]   vídeo.
[00:05:30.000 --> 00:05:31.430]   O link está na descrição do
[00:05:31.430 --> 00:05:32.000]   vídeo.
[00:06:00.000 --> 00:06:01.570]   O link está na descrição do
[00:06:01.570 --> 00:06:03.000]   vídeo.
[00:06:03.000 --> 00:06:04.430]   O link está na descrição do
[00:06:04.430 --> 00:06:05.000]   vídeo.
[00:06:05.000 --> 00:06:06.430]   O link está na descrição do
[00:06:06.430 --> 00:06:07.000]   vídeo.
[00:06:07.000 --> 00:06:08.430]   O link está na descrição do
[00:06:08.430 --> 00:06:09.000]   vídeo.
[00:06:09.000 --> 00:06:10.430]   O link está na descrição do
[00:06:10.430 --> 00:06:11.000]   vídeo.
[00:06:11.000 --> 00:06:12.430]   O link está na descrição do
[00:06:12.430 --> 00:06:13.000]   vídeo.
[00:06:13.000 --> 00:06:14.430]   O link está na descrição do
[00:06:14.430 --> 00:06:15.000]   vídeo.
[00:06:15.000 --> 00:06:16.430]   O link está na descrição do
[00:06:16.430 --> 00:06:17.000]   vídeo.
[00:06:17.000 --> 00:06:18.430]   O link está na descrição do
[00:06:18.430 --> 00:06:19.000]   vídeo.
[00:06:19.000 --> 00:06:20.430]   O link está na descrição do
[00:06:20.430 --> 00:06:21.000]   vídeo.
[00:06:21.000 --> 00:06:22.430]   O link está na descrição do
[00:06:22.430 --> 00:06:23.000]   vídeo.
[00:06:23.000 --> 00:06:24.430]   O link está na descrição do
[00:06:24.430 --> 00:06:25.000]   vídeo.
[00:06:25.000 --> 00:06:26.430]   O link está na descrição do
[00:06:26.430 --> 00:06:27.000]   vídeo.
[00:06:27.000 --> 00:06:28.430]   O link está na descrição do
[00:06:28.430 --> 00:06:29.000]   vídeo.
[00:06:29.000 --> 00:06:30.430]   O link está na descrição do
[00:06:30.430 --> 00:06:31.000]   vídeo.
[00:06:31.000 --> 00:06:32.430]   O link está na descrição do
[00:06:32.430 --> 00:06:33.000]   vídeo.
[00:06:33.000 --> 00:06:34.430]   O link está na descrição do
[00:06:34.430 --> 00:06:35.000]   vídeo.
[00:06:35.000 --> 00:06:36.430]   O link está na descrição do
[00:06:36.430 --> 00:06:37.000]   vídeo.
[00:06:37.000 --> 00:06:38.430]   O link está na descrição do
[00:06:38.430 --> 00:06:39.000]   vídeo.
[00:06:39.000 --> 00:06:40.430]   O link está na descrição do
[00:06:40.430 --> 00:06:41.000]   vídeo.
[00:06:41.000 --> 00:06:42.430]   O link está na descrição do
[00:06:42.430 --> 00:06:43.000]   vídeo.
[00:06:43.000 --> 00:06:44.430]   O link está na descrição do
[00:06:44.430 --> 00:06:45.000]   vídeo.
[00:06:45.000 --> 00:06:46.430]   O link está na descrição do
[00:06:46.430 --> 00:06:47.000]   vídeo.
[00:06:47.000 --> 00:06:48.430]   O link está na descrição do
[00:06:48.430 --> 00:06:49.000]   vídeo.
[00:06:49.000 --> 00:06:50.430]   O link está na descrição do
[00:06:50.430 --> 00:06:51.000]   vídeo.
[00:06:51.000 --> 00:06:52.430]   O link está na descrição do
[00:06:52.430 --> 00:06:53.000]   vídeo.
[00:06:53.000 --> 00:06:54.430]   O link está na descrição do
[00:06:54.430 --> 00:06:55.000]   vídeo.
[00:06:55.000 --> 00:06:56.430]   O link está na descrição do
[00:06:56.430 --> 00:06:57.000]   vídeo.
[00:06:57.000 --> 00:06:58.430]   O link está na descrição do
[00:06:58.430 --> 00:06:59.000]   vídeo.
[00:06:59.000 --> 00:07:00.430]   O link está na descrição do
[00:07:00.430 --> 00:07:01.000]   vídeo.
[00:07:01.000 --> 00:07:02.430]   O link está na descrição do
[00:07:02.430 --> 00:07:03.000]   vídeo.
[00:07:03.000 --> 00:07:04.430]   O link está na descrição do
[00:07:04.430 --> 00:07:05.000]   vídeo.
[00:07:05.000 --> 00:07:06.430]   O link está na descrição do
[00:07:06.430 --> 00:07:07.000]   vídeo.
[00:07:07.000 --> 00:07:08.430]   O link está na descrição do
[00:07:08.430 --> 00:07:09.000]   vídeo.
[00:07:09.000 --> 00:07:10.430]   O link está na descrição do
[00:07:10.430 --> 00:07:11.000]   vídeo.
[00:07:11.000 --> 00:07:12.430]   O link está na descrição do
[00:07:12.430 --> 00:07:13.000]   vídeo.
[00:07:13.000 --> 00:07:14.430]   O link está na descrição do
[00:07:14.430 --> 00:07:15.000]   vídeo.
[00:07:15.000 --> 00:07:16.430]   O link está na descrição do
[00:07:16.430 --> 00:07:17.000]   vídeo.
[00:07:17.000 --> 00:07:18.430]   O link está na descrição do
[00:07:18.430 --> 00:07:19.000]   vídeo.
[00:07:19.000 --> 00:07:20.430]   O link está na descrição do
[00:07:20.430 --> 00:07:21.000]   vídeo.
[00:07:21.000 --> 00:07:22.430]   O link está na descrição do
[00:07:22.430 --> 00:07:23.000]   vídeo.
[00:07:23.000 --> 00:07:24.430]   O link está na descrição do
[00:07:24.430 --> 00:07:25.000]   vídeo.
[00:07:25.000 --> 00:07:26.430]   O link está na descrição do
[00:07:26.430 --> 00:07:27.000]   vídeo.
[00:07:27.000 --> 00:07:28.430]   O link está na descrição do
[00:07:28.430 --> 00:07:29.000]   vídeo.
[00:07:29.000 --> 00:07:30.430]   O link está na descrição do
[00:07:30.430 --> 00:07:31.000]   vídeo.
[00:07:31.000 --> 00:07:32.430]   O link está na descrição do
[00:07:32.430 --> 00:07:33.000]   vídeo.
[00:07:33.000 --> 00:07:34.430]   O link está na descrição do
[00:07:34.430 --> 00:07:35.000]   vídeo.
[00:07:35.000 --> 00:07:36.430]   O link está na descrição do
[00:07:36.430 --> 00:07:37.000]   vídeo.
[00:07:37.000 --> 00:07:38.430]   O link está na descrição do
[00:07:38.430 --> 00:07:39.000]   vídeo.
[00:07:39.000 --> 00:07:40.430]   O link está na descrição do
[00:07:40.430 --> 00:07:41.000]   vídeo.
[00:07:41.000 --> 00:07:42.430]   O link está na descrição do
[00:07:42.430 --> 00:07:43.000]   vídeo.
[00:07:43.000 --> 00:07:44.430]   O link está na descrição do
[00:07:44.430 --> 00:07:45.000]   vídeo.
[00:07:45.000 --> 00:07:46.430]   O link está na descrição do
[00:07:46.430 --> 00:07:47.000]   vídeo.
[00:07:47.000 --> 00:07:48.430]   O link está na descrição do
[00:07:48.430 --> 00:07:49.000]   vídeo.
[00:07:49.000 --> 00:07:50.430]   O link está na descrição do
[00:07:50.430 --> 00:07:51.000]   vídeo.
[00:07:51.000 --> 00:07:52.430]   O link está na descrição do
[00:07:52.430 --> 00:07:53.000]   vídeo.
[00:07:53.000 --> 00:07:54.430]   O link está na descrição do
[00:07:54.430 --> 00:07:55.000]   vídeo.
[00:07:55.000 --> 00:07:56.430]   O link está na descrição do
[00:07:56.430 --> 00:07:57.000]   vídeo.
[00:07:57.000 --> 00:07:58.430]   O link está na descrição do
[00:07:58.430 --> 00:07:59.000]   vídeo.
[00:07:59.000 --> 00:08:00.430]   O link está na descrição do
[00:08:00.430 --> 00:08:01.000]   vídeo.
[00:08:01.000 --> 00:08:02.430]   O link está na descrição do
[00:08:02.430 --> 00:08:03.000]   vídeo.
[00:08:03.000 --> 00:08:04.430]   O link está na descrição do
[00:08:04.430 --> 00:08:05.000]   vídeo.
[00:08:05.000 --> 00:08:06.430]   O link está na descrição do
[00:08:06.430 --> 00:08:07.000]   vídeo.
[00:08:07.000 --> 00:08:08.430]   O link está na descrição do
[00:08:08.430 --> 00:08:09.000]   vídeo.
[00:08:09.000 --> 00:08:10.430]   O link está na descrição do
[00:08:10.430 --> 00:08:11.000]   vídeo.
[00:08:11.000 --> 00:08:12.430]   O link está na descrição do
[00:08:12.430 --> 00:08:13.000]   vídeo.
[00:08:13.000 --> 00:08:14.430]   O link está na descrição do
[00:08:14.430 --> 00:08:15.000]   vídeo.
[00:08:15.000 --> 00:08:16.430]   O link está na descrição do
[00:08:16.430 --> 00:08:17.000]   vídeo.
[00:08:17.000 --> 00:08:18.430]   O link está na descrição do
[00:08:18.430 --> 00:08:19.000]   vídeo.
[00:08:19.000 --> 00:08:23.500]   O link está na descrição do
[00:08:23.500 --> 00:08:25.000]   vídeo.
[00:08:25.000 --> 00:08:26.430]   O link está na descrição do
[00:08:26.430 --> 00:08:27.000]   vídeo.
[00:08:27.000 --> 00:08:28.430]   O link está na descrição do
[00:08:28.430 --> 00:08:29.000]   vídeo.
[00:08:29.000 --> 00:08:30.430]   O link está na descrição do
[00:08:30.430 --> 00:08:31.000]   vídeo.
[00:08:31.000 --> 00:08:32.430]   O link está na descrição do
[00:08:32.430 --> 00:08:33.000]   vídeo.
[00:08:33.000 --> 00:08:34.430]   O link está na descrição do
[00:08:34.430 --> 00:08:35.000]   vídeo.
[00:08:35.000 --> 00:08:36.430]   O link está na descrição do
[00:08:36.430 --> 00:08:37.000]   vídeo.
[00:08:37.000 --> 00:08:38.430]   O link está na descrição do
[00:08:38.430 --> 00:08:39.000]   vídeo.
[00:08:39.000 --> 00:08:40.430]   O link está na descrição do
[00:08:40.430 --> 00:08:41.000]   vídeo.
[00:08:41.000 --> 00:08:42.430]   O link está na descrição do
[00:08:42.430 --> 00:08:43.000]   vídeo.
[00:08:43.000 --> 00:08:44.430]   O link está na descrição do
[00:08:44.430 --> 00:08:45.000]   vídeo.
[00:08:45.000 --> 00:08:46.430]   O link está na descrição do
[00:08:46.430 --> 00:08:47.000]   vídeo.
[00:08:47.000 --> 00:08:48.430]   O link está na descrição do
[00:08:48.430 --> 00:08:49.000]   vídeo.
[00:08:49.000 --> 00:08:50.430]   O link está na descrição do
[00:08:50.430 --> 00:08:51.000]   vídeo.
[00:08:51.000 --> 00:08:52.430]   O link está na descrição do
[00:08:52.430 --> 00:08:53.000]   vídeo.
[00:08:53.000 --> 00:08:54.430]   O link está na descrição do
[00:08:54.430 --> 00:08:55.000]   vídeo.
[00:08:55.000 --> 00:08:56.430]   O link está na descrição do
[00:08:56.430 --> 00:08:57.000]   vídeo.
[00:08:57.000 --> 00:08:58.430]   O link está na descrição do
[00:08:58.430 --> 00:08:59.000]   vídeo.
[00:08:59.000 --> 00:09:00.430]   O link está na descrição do
[00:09:00.430 --> 00:09:01.000]   vídeo.
[00:09:01.000 --> 00:09:02.430]   O link está na descrição do
[00:09:02.430 --> 00:09:03.000]   vídeo.
[00:09:03.000 --> 00:09:04.430]   O link está na descrição do
[00:09:04.430 --> 00:09:05.000]   vídeo.
[00:09:05.000 --> 00:09:06.430]   O link está na descrição do
[00:09:06.430 --> 00:09:07.000]   vídeo.
[00:09:07.000 --> 00:09:08.430]   O link está na descrição do
[00:09:08.430 --> 00:09:09.000]   vídeo.
[00:09:09.000 --> 00:09:10.430]   O link está na descrição do
[00:09:10.430 --> 00:09:11.000]   vídeo.
[00:09:11.000 --> 00:09:12.430]   O link está na descrição do
[00:09:12.430 --> 00:09:13.000]   vídeo.
[00:09:13.000 --> 00:09:14.430]   O link está na descrição do
[00:09:14.430 --> 00:09:15.000]   vídeo.
[00:09:15.000 --> 00:09:16.430]   O link está na descrição do
[00:09:16.430 --> 00:09:17.000]   vídeo.
[00:09:17.000 --> 00:09:18.430]   O link está na descrição do
[00:09:18.430 --> 00:09:19.000]   vídeo.
[00:09:19.000 --> 00:09:20.430]   O link está na descrição do
[00:09:20.430 --> 00:09:21.000]   vídeo.
[00:09:21.000 --> 00:09:22.430]   O link está na descrição do
[00:09:22.430 --> 00:09:23.000]   vídeo.
[00:09:23.000 --> 00:09:24.430]   O link está na descrição do
[00:09:24.430 --> 00:09:25.000]   vídeo.
[00:09:25.000 --> 00:09:26.430]   O link está na descrição do
[00:09:26.430 --> 00:09:27.000]   vídeo.
[00:09:27.000 --> 00:09:28.430]   O link está na descrição do
[00:09:28.430 --> 00:09:29.000]   vídeo.
[00:09:29.000 --> 00:09:30.430]   O link está na descrição do
[00:09:30.430 --> 00:09:31.000]   vídeo.
[00:09:31.000 --> 00:09:32.430]   O link está na descrição do
[00:09:32.430 --> 00:09:33.000]   vídeo.
[00:09:33.000 --> 00:09:34.430]   O link está na descrição do
[00:09:34.430 --> 00:09:35.000]   vídeo.
[00:09:35.000 --> 00:09:36.430]   O link está na descrição do
[00:09:36.430 --> 00:09:37.000]   vídeo.
[00:09:37.000 --> 00:09:38.430]   O link está na descrição do
[00:09:38.430 --> 00:09:39.000]   vídeo.
[00:09:39.000 --> 00:09:40.430]   O link está na descrição do
[00:09:40.430 --> 00:09:41.000]   vídeo.
[00:09:41.000 --> 00:09:42.430]   O link está na descrição do
[00:09:42.430 --> 00:09:43.000]   vídeo.
[00:09:43.000 --> 00:09:45.000]   Então, essa flexibilidade
[00:09:45.000 --> 00:09:47.000]   de você abrir o seu método
[00:09:47.000 --> 00:09:49.000]   em outras ofertas,
[00:09:49.000 --> 00:09:51.000]   em outros produtos,
[00:09:51.000 --> 00:09:53.000]   mas seguindo o mesmo método e a
[00:09:53.000 --> 00:09:53.000]   mesma persona,
[00:09:53.000 --> 00:09:55.000]   vai fazer a sua conversão
[00:09:55.000 --> 00:09:55.000]   aumentar
[00:09:55.000 --> 00:09:56.440]   vai fazer a sua conversão
[00:09:56.440 --> 00:09:57.000]   aumentar
[00:09:57.000 --> 00:09:59.000]   de forma clara e muito mais
[00:09:59.000 --> 00:09:59.000]   fácil.

[00:10:00.000 --> 00:10:02.680]   E aqui a oferta irresistível
[00:10:02.680 --> 00:10:05.050]   não é ter o produto perfeito, é
[00:10:05.050 --> 00:10:06.890]   ser o produto certo no momento
[00:10:06.890 --> 00:10:07.460]   certo.
[00:10:07.460 --> 00:10:09.040]   Por que eu quero dizer isso?
[00:10:09.040 --> 00:10:11.130]   Como eu falei na semana passada,
[00:10:11.130 --> 00:10:13.080]   a semana passada a gente tratou
[00:10:13.080 --> 00:10:15.240]   sobre você vender num A1, com o
[00:10:15.240 --> 00:10:15.860]   seu network,
[00:10:15.860 --> 00:10:17.470]   eu quero saber quem assistiu e
[00:10:17.470 --> 00:10:19.150]   quem fez o desafio de começar a
[00:10:19.150 --> 00:10:20.940]   fazer as primeiras vendas para
[00:10:20.940 --> 00:10:22.000]   quem já conhece,
[00:10:22.000 --> 00:10:23.850]   para aquele rastreador dos
[00:10:23.850 --> 00:10:25.620]   leads scams, e aí você vai
[00:10:25.620 --> 00:10:27.260]   perceber que o seu produto ele
[00:10:27.260 --> 00:10:28.440]   não tem que ser perfeito para
[00:10:28.440 --> 00:10:29.660]   fazer as primeiras vendas,
[00:10:29.660 --> 00:10:32.340]   você vai melhorando ao longo do
[00:10:32.340 --> 00:10:34.160]   processo por meio dos feedback
[00:10:34.160 --> 00:10:36.710]   dos alunos, da sua percepção aonde
[00:10:36.710 --> 00:10:38.600]   eles travam, onde que tem o
[00:10:38.600 --> 00:10:39.360]   problema,
[00:10:39.360 --> 00:10:41.190]   se o problema é na venda, se é
[00:10:41.190 --> 00:10:43.260]   na entrega, se é na execução,
[00:10:43.260 --> 00:10:45.110]   se falta ferramentas, se falta
[00:10:45.110 --> 00:10:47.000]   teoria, porque muitas pessoas
[00:10:47.000 --> 00:10:48.860]   não precisam de mais teoria,
[00:10:48.860 --> 00:10:51.540]   precisam de mais ferramentas,
[00:10:51.540 --> 00:10:53.360]   templates prontos para facilitar,
[00:10:53.360 --> 00:10:55.220]   precisam do que? De tempo,
[00:10:55.220 --> 00:10:56.940]   então a oferta irresistível
[00:10:56.940 --> 00:10:59.360]   aqui não é ter um produto perfeito,
[00:10:59.360 --> 00:11:01.900]   é você ir melhorando e se adequando
[00:11:01.900 --> 00:11:03.860]   ao momento dos leads que vão
[00:11:03.860 --> 00:11:05.290]   chegando, e é por isso que
[00:11:05.290 --> 00:11:07.300]   quando você faz uma venda secreta,
[00:11:07.300 --> 00:11:09.120]   é muito importante você ter um
[00:11:09.120 --> 00:11:10.860]   diagnóstico antes, porque a
[00:11:10.860 --> 00:11:13.360]   pessoa vai responder esse diagnóstico,
[00:11:13.360 --> 00:11:15.600]   você vai para a sessão com ela,
[00:11:15.600 --> 00:11:17.600]   já com uma oferta baseada nesse
[00:11:17.600 --> 00:11:19.840]   perfil, você não vai apresentar
[00:11:19.840 --> 00:11:21.970]   as suas 15 ofertas, se não ela
[00:11:21.970 --> 00:11:23.100]   vai ficar tão confusa e vai
[00:11:23.100 --> 00:11:23.600]   falar sabe o que?
[00:11:23.600 --> 00:11:25.490]   Ah legal, ótimo, vou pensar e
[00:11:25.490 --> 00:11:27.170]   aí ela vai se confundir, é
[00:11:27.170 --> 00:11:29.130]   igualzinho, eu Carol quando vou
[00:11:29.130 --> 00:11:31.720]   nessas lojas âmparas, H&R, acho
[00:11:31.720 --> 00:11:32.820]   que eu não consigo comprar
[00:11:32.820 --> 00:11:34.000]   porque são muitas opções,
[00:11:34.000 --> 00:11:35.360]   então eu prefiro uma loja menor,
[00:11:35.360 --> 00:11:36.790]   principalmente a pessoa já fala,
[00:11:36.790 --> 00:11:38.100]   o que você quer? Um vestido?
[00:11:38.100 --> 00:11:39.790]   Vou te trazer as opções de vestido,
[00:11:39.790 --> 00:11:41.500]   qual é o modelo que você quer?
[00:11:41.500 --> 00:11:43.270]   Por que? Porque eu fico com
[00:11:43.270 --> 00:11:45.220]   menos opções e aí eu consigo
[00:11:45.220 --> 00:11:47.240]   escolher de forma mais rápida e
[00:11:47.240 --> 00:11:49.930]   mais eficiente, então você ter
[00:11:49.930 --> 00:11:51.600]   um leque de ofertas
